question
During the last two weeks, how often have you felt mentally exhausted?
During the last two weeks, how often have you had difficulty sleeping?
During the last two weeks, how often have you felt anxious or tense?
During the last two weeks, how often have you struggled to concentrate?
During the last two weeks, how often have you felt little interest or pleasure in doing things?
During the last two weeks, how often have you felt hopeless?
During the last two weeks, how often have you felt physically drained?
During the last two weeks, how often have you felt irritable?
During the last two weeks, how often have you worried excessively?
During the last two weeks, how often have you felt overwhelmed by work?
